OrderID,CustomerID,DishID,Feedback,Rating,Sentiment
O00354,C0060,R168,"Loved it, highly recommended",5,Very Positive
O00355,C0226,R55,"Loved it, highly recommended",5,Very Positive
O00356,C0116,R89,Average experience,3,Neutral
O00357,C0289,R12,Perfectly cooked and tasty,5,Very Positive
O00358,C0141,R27,Excellent taste and service,4,Positive
O00359,C0180,R158,Too spicy for me,3,Neutral
O00360,C0210,R72,Average experience,3,Neutral
O00361,C0288,R111,"Very good, will order again",4,Positive
O00362,C0213,R111,Will not order this again,3,Neutral
O00363,C0262,R164,"Food was okay, can be improved",5,Very Positive
O00364,C0199,R6,Too spicy for me,3,Neutral
O00365,C0009,R127,"Food was okay, can be improved",5,Very Positive
O00366,C0134,R63,Perfectly cooked and tasty,5,Very Positive
O00367,C0268,R157,Excellent taste and service,4,Positive
O00368,C0144,R142,Not satisfied with the taste,2,Negative
O00369,C0235,R35,Not satisfied with the taste,2,Negative
O00370,C0007,R63,"Loved it, highly recommended",5,Very Positive
O00371,C0126,R136,"Very good, will order again",4,Positive
O00372,C0254,R13,Perfectly cooked and tasty,5,Very Positive
O00373,C0141,R2,Excellent taste and service,4,Positive
O00374,C0024,R148,"Very good, will order again",4,Positive
O00375,C0124,R33,"Food was okay, can be improved",5,Very Positive
O00376,C0151,R149,"Food was okay, can be improved",5,Very Positive
O00377,C0202,R155,Will not order this again,3,Neutral
O00378,C0001,R160,Average experience,3,Neutral
O00379,C0010,R151,"Food was okay, can be improved",5,Very Positive
O00380,C0234,R146,Will not order this again,3,Neutral
O00381,C0114,R74,Will not order this again,3,Neutral
O00382,C0324,R29,Average experience,3,Neutral
O00383,C0064,R145,"Food was okay, can be improved",5,Very Positive
O00384,C0255,R71,Will not order this again,3,Neutral
O00385,C0277,R18,Average experience,3,Neutral
O00386,C0011,R59,Not satisfied with the taste,2,Negative
O00387,C0311,R24,Excellent taste and service,4,Positive
O00388,C0267,R56,Service was slow but food good,4,Positive
O00389,C0184,R4,Will not order this again,3,Neutral
O00390,C0287,R57,Average experience,3,Neutral
O00391,C0045,R83,Perfectly cooked and tasty,5,Very Positive
O00392,C0064,R158,Average experience,3,Neutral
O00393,C0055,R64,Too spicy for me,3,Neutral
O00394,C0099,R25,Service was slow but food good,4,Positive
O00395,C0206,R27,Excellent taste and service,4,Positive
O00396,C0119,R165,Not satisfied with the taste,2,Negative
O00397,C0300,R133,Not satisfied with the taste,2,Negative
O00398,C0059,R119,"Very good, will order again",4,Positive
O00399,C0127,R158,"Loved it, highly recommended",5,Very Positive
O00400,C0142,R78,Too spicy for me,3,Neutral
O00401,C0285,R50,Not satisfied with the taste,2,Negative
O00402,C0120,R89,"Very good, will order again",4,Positive
O00403,C0216,R8,"Loved it, highly recommended",5,Very Positive
O00404,C0068,R17,Excellent taste and service,4,Positive
O00405,C0036,R3,Average experience,3,Neutral
O00406,C0101,R33,Will not order this again,3,Neutral
O00407,C0011,R134,"Very good, will order again",4,Positive
O00408,C0063,R159,Too spicy for me,3,Neutral
O00409,C0140,R22,"Loved it, highly recommended",5,Very Positive
O00410,C0258,R2,Too spicy for me,3,Neutral
O00411,C0122,R161,"Very good, will order again",4,Positive
O00412,C0045,R3,Not satisfied with the taste,2,Negative
O00413,C0176,R21,Not satisfied with the taste,2,Negative
O00414,C0071,R5,"Loved it, highly recommended",5,Very Positive
O00415,C0299,R133,Perfectly cooked and tasty,5,Very Positive
O00416,C0079,R151,"Loved it, highly recommended",5,Very Positive
O00417,C0163,R144,"Food was okay, can be improved",5,Very Positive
O00418,C0214,R110,Perfectly cooked and tasty,5,Very Positive
O00419,C0115,R14,Not satisfied with the taste,2,Negative
O00420,C0238,R73,Service was slow but food good,4,Positive
O00421,C0020,R32,Will not order this again,3,Neutral
O00422,C0228,R166,Perfectly cooked and tasty,5,Very Positive
O00423,C0236,R1,Service was slow but food good,4,Positive
O00424,C0011,R38,"Loved it, highly recommended",5,Very Positive
O00425,C0193,R89,"Food was okay, can be improved",5,Very Positive
O00426,C0043,R63,Too spicy for me,3,Neutral
O00427,C0148,R63,Average experience,3,Neutral
O00428,C0195,R7,Perfectly cooked and tasty,5,Very Positive
O00429,C0051,R29,Too spicy for me,3,Neutral
O00430,C0207,R48,Will not order this again,3,Neutral
O00431,C0208,R119,Perfectly cooked and tasty,5,Very Positive
O00432,C0100,R54,Not satisfied with the taste,2,Negative
O00433,C0050,R4,Service was slow but food good,4,Positive
O00434,C0196,R54,Average experience,3,Neutral
O00435,C0137,R144,"Food was okay, can be improved",5,Very Positive
O00436,C0239,R35,Service was slow but food good,4,Positive
O00437,C0057,R158,"Food was okay, can be improved",5,Very Positive
O00438,C0142,R83,Service was slow but food good,4,Positive
O00439,C0148,R33,Will not order this again,3,Neutral
O00440,C0091,R59,Too spicy for me,3,Neutral
O00441,C0099,R3,Too spicy for me,3,Neutral
O00442,C0004,R136,Service was slow but food good,4,Positive
O00443,C0010,R2,Service was slow but food good,4,Positive
O00444,C0141,R57,Average experience,3,Neutral
O00445,C0054,R161,Perfectly cooked and tasty,5,Very Positive
O00446,C0251,R139,"Very good, will order again",4,Positive
O00447,C0217,R62,Average experience,3,Neutral
O00448,C0240,R28,Too spicy for me,3,Neutral
O00449,C0073,R43,"Food was okay, can be improved",5,Very Positive
O00450,C0306,R35,"Very good, will order again",4,Positive
O00451,C0277,R3,Too spicy for me,3,Neutral
O00452,C0077,R23,Too spicy for me,3,Neutral
O00453,C0199,R134,Perfectly cooked and tasty,5,Very Positive
O00454,C0099,R67,Average experience,3,Neutral
O00455,C0099,R63,"Very good, will order again",4,Positive
O00456,C0250,R166,Average experience,3,Neutral
O00457,C0250,R159,Not satisfied with the taste,2,Negative
O00458,C0330,R139,Will not order this again,3,Neutral
O00459,C0052,R32,Excellent taste and service,4,Positive
O00460,C0301,R13,"Loved it, highly recommended",5,Very Positive
O00461,C0031,R26,Not satisfied with the taste,2,Negative
O00462,C0266,R151,Perfectly cooked and tasty,5,Very Positive
O00463,C0052,R157,Service was slow but food good,4,Positive
O00464,C0063,R6,"Loved it, highly recommended",5,Very Positive
O00465,C0097,R37,Not satisfied with the taste,2,Negative
O00466,C0061,R23,Will not order this again,3,Neutral
O00467,C0029,R78,Service was slow but food good,4,Positive
O00468,C0152,R147,Service was slow but food good,4,Positive
O00469,C0289,R117,Not satisfied with the taste,2,Negative
O00470,C0245,R84,Perfectly cooked and tasty,5,Very Positive
O00471,C0194,R33,Not satisfied with the taste,2,Negative
O00472,C0117,R40,Too spicy for me,3,Neutral
O00473,C0221,R2,"Loved it, highly recommended",5,Very Positive
O00474,C0150,R147,Average experience,3,Neutral
O00475,C0318,R43,"Very good, will order again",4,Positive
O00476,C0254,R46,"Loved it, highly recommended",5,Very Positive
O00477,C0284,R19,"Loved it, highly recommended",5,Very Positive
O00478,C0113,R152,Not satisfied with the taste,2,Negative
O00479,C0015,R134,"Food was okay, can be improved",5,Very Positive
O00480,C0106,R8,Too spicy for me,3,Neutral
O00481,C0029,R55,"Food was okay, can be improved",5,Very Positive
O00482,C0028,R61,"Loved it, highly recommended",5,Very Positive
O00483,C0154,R61,Not satisfied with the taste,2,Negative
O00484,C0057,R56,Perfectly cooked and tasty,5,Very Positive
O00485,C0218,R37,Average experience,3,Neutral
O00486,C0303,R165,"Loved it, highly recommended",5,Very Positive
O00487,C0205,R2,Average experience,3,Neutral
O00488,C0184,R133,"Loved it, highly recommended",5,Very Positive
O00489,C0244,R23,"Loved it, highly recommended",5,Very Positive
O00490,C0122,R83,Not satisfied with the taste,2,Negative
O00491,C0286,R38,Service was slow but food good,4,Positive
O00492,C0253,R112,Average experience,3,Neutral
O00493,C0206,R76,Excellent taste and service,4,Positive
O00494,C0323,R146,Will not order this again,3,Neutral
O00495,C0075,R14,"Food was okay, can be improved",5,Very Positive
O00496,C0214,R30,Average experience,3,Neutral
O00497,C0294,R100,Excellent taste and service,4,Positive
O00498,C0079,R61,Perfectly cooked and tasty,5,Very Positive
O00499,C0001,R29,"Food was okay, can be improved",5,Very Positive
O00500,C0079,R72,"Food was okay, can be improved",5,Very Positive
O00501,C0206,R157,"Loved it, highly recommended",5,Very Positive
O00502,C0142,R147,"Loved it, highly recommended",5,Very Positive
O00503,C0292,R154,Excellent taste and service,4,Positive
O00504,C0196,R168,"Very good, will order again",4,Positive
O00505,C0046,R86,Too spicy for me,3,Neutral
O00506,C0120,R88,Service was slow but food good,4,Positive
O00507,C0042,R21,Service was slow but food good,4,Positive
O00508,C0325,R17,Excellent taste and service,4,Positive
